SHIPPING_LOCATION,DEPARTMENT,CATEGORY,SUBCATEGORY,BREADCRUMBS,SKU,PRODUCT_URL,PRODUCT_NAME,BRAND,PRICE_RETAIL,PRICE_CURRENT,PRODUCT_SIZE,PROMOTION,RunDate,Month,Season,IsWinter,IsSummer,IsIceCream,Price_Change,Days_Since_Last_Price_Update
30301,Deli,Cheese,,Deli/Cheese,730219931,https://www.walmart.com/ip/Mozzarella-Cheese,"Sargento Mozzarella Cheese, 8 Oz",Sargento,3.49,3.49,8,Regular,2022-03-20,3,Spring,0,0,0,0.0,0.0
60601,Frozen Foods,Ice Cream,,Frozen Foods/Ice Cream,274667029,https://www.walmart.com/ip/Chocolate-Ice-Cream,"Breyers Chocolate Ice Cream, 48 Oz",Breyers,6.99,6.99,48,Regular,2022-10-31,10,Fall,0,0,1,0.0,0.0
60601,Snacks,Cookies,,Snacks/Cookies,528020142,https://www.walmart.com/ip/Chocolate-Chip-Cookies,"Chips Ahoy Chocolate Chip Cookies, 13 Oz",Chips Ahoy,4.29,4.29,13,Regular,2022-10-01,10,Fall,0,0,0,0.0,0.0
30301,Bakery,Pastries,,Bakery/Pastries,315260842,https://www.walmart.com/ip/Cinnamon-Rolls,"Pillsbury Cinnamon Rolls, 8 Oz",Pillsbury,3.49,3.49,8,Regular,2022-11-04,11,Fall,0,0,0,0.0,0.0
79936,Beverages,Soda,,Beverages/Soda,362788605,https://www.walmart.com/ip/Lemon-Lime-Soda,"Sprite Lemon-Lime Soda, 2 L",Sprite,1.99,1.99,2,Regular,2022-01-31,1,Winter,1,0,0,0.0,0.0
30301,Snacks,Chips,,Snacks/Chips,873486954,https://www.walmart.com/ip/Tortilla-Chips,"Tostitos Tortilla Chips, 10 Oz",Tostitos,3.49,3.49,10,Regular,2022-04-04,4,Spring,0,0,0,0.0,0.0
79936,Beverages,Juice,,Beverages/Juice,430103652,https://www.walmart.com/ip/Apple-Juice,"Mott's Apple Juice, 64 Oz",Mott's,3.49,3.49,64,Regular,2022-07-07,7,Summer,0,1,0,0.0,0.0
10001,Snacks,Chips,,Snacks/Chips,402699218,https://www.walmart.com/ip/Tortilla-Chips,"Tostitos Tortilla Chips, 10 Oz",Tostitos,3.49,3.49,10,Regular,2022-04-22,4,Spring,0,0,0,0.0,0.0
60601,Snacks,Chips,,Snacks/Chips,529710790,https://www.walmart.com/ip/Tortilla-Chips,"Tostitos Tortilla Chips, 10 Oz",Tostitos,3.49,3.49,10,Regular,2022-05-13,5,Spring,0,0,0,0.0,0.0
10001,Deli,"Hummus, Dips, & Salsa",,"Deli/Hummus, Dips, & Salsa",252420058,https://www.walmart.com/ip/Garlic-Hummus,"Marketside Garlic Hummus, 10 Oz",Marketside,2.67,2.67,10,Regular,2022-08-27,8,Summer,0,1,0,0.0,0.0
30301,Deli,"Hummus, Dips, & Salsa",,"Deli/Hummus, Dips, & Salsa",115867222,https://www.walmart.com/ip/Roasted-Red-Pepper-Hummus,"Marketside Roasted Red Pepper Hummus, 10 Oz",Marketside,2.67,2.67,10,Regular,2022-11-11,11,Fall,0,0,0,0.0,0.0
79936,Bakery,Cakes,,Bakery/Cakes,878724244,https://www.walmart.com/ip/Vanilla-Cake,"Duncan Hines Vanilla Cake, 15 Oz",Duncan Hines,5.99,5.99,15,Regular,2022-07-16,7,Summer,0,1,0,0.0,0.0
90001,Deli,"Hummus, Dips, & Salsa",,"Deli/Hummus, Dips, & Salsa",248421397,https://www.walmart.com/ip/Roasted-Red-Pepper-Hummus,"Marketside Roasted Red Pepper Hummus, 10 Oz",Marketside,2.67,2.67,10,Regular,2022-11-30,11,Fall,0,0,0,0.0,0.0
60601,Frozen Foods,Frozen Meals,,Frozen Foods/Frozen Meals,372549834,https://www.walmart.com/ip/Frozen-Burritos,"El Monterey Frozen Burritos, 10 Pack",El Monterey,7.49,7.49,10,Regular,2022-01-15,1,Winter,1,0,0,0.0,0.0
79936,Frozen Foods,Frozen Vegetables,,Frozen Foods/Frozen Vegetables,423386060,https://www.walmart.com/ip/Spinach,"Green Giant Spinach, 16 Oz",Green Giant,2.49,2.49,16,Regular,2022-04-21,4,Spring,0,0,0,0.0,0.0
30301,Bakery,Pastries,,Bakery/Pastries,412608347,https://www.walmart.com/ip/Danish-Pastry,"Entenmann's Danish Pastry, 12 Oz",Entenmann's,4.99,4.99,12,Regular,2022-08-18,8,Summer,0,1,0,0.0,0.0
30301,Frozen Foods,Ice Cream,,Frozen Foods/Ice Cream,876077452,https://www.walmart.com/ip/Chocolate-Ice-Cream,"Breyers Chocolate Ice Cream, 48 Oz",Breyers,6.99,6.99,48,Winter Discount,2022-12-19,12,Winter,1,0,1,0.0,0.0
79936,Snacks,Nuts & Seeds,,Snacks/Nuts & Seeds,209528848,https://www.walmart.com/ip/Sunflower-Seeds,"David Sunflower Seeds, 8 Oz",David,3.49,3.49,8,Regular,2022-09-15,9,Fall,0,0,0,0.0,0.0
79936,Bakery,Cakes,,Bakery/Cakes,307871958,https://www.walmart.com/ip/Chocolate-Cake,"Betty Crocker Chocolate Cake, 15 Oz",Betty Crocker,5.99,5.99,15,Regular,2022-02-14,2,Winter,1,0,0,0.0,0.0
30301,Frozen Foods,Frozen Vegetables,,Frozen Foods/Frozen Vegetables,499949312,https://www.walmart.com/ip/Spinach,"Green Giant Spinach, 16 Oz",Green Giant,2.49,2.49,16,Regular,2022-09-20,9,Fall,0,0,0,0.0,0.0
79936,Bakery,Bread,,Bakery/Bread,378454165,https://www.walmart.com/ip/White-Bread,"Wonder White Bread, 20 Oz",Wonder,2.49,2.49,20,Regular,2022-05-19,5,Spring,0,0,0,0.0,0.0
79936,Beverages,Water,,Beverages/Water,358036154,https://www.walmart.com/ip/Spring-Water,"Poland Spring Spring Water, 24 Pack",Poland Spring,4.99,4.99,24,Regular,2022-08-26,8,Summer,0,1,0,0.0,0.0
30301,Frozen Foods,Frozen Meals,,Frozen Foods/Frozen Meals,698677586,https://www.walmart.com/ip/Frozen-Pizza,"DiGiorno Frozen Pizza, 30 Oz",DiGiorno,6.99,6.99,30,Regular,2022-01-28,1,Winter,1,0,0,0.0,0.0
10001,Snacks,Nuts & Seeds,,Snacks/Nuts & Seeds,502983383,https://www.walmart.com/ip/Sunflower-Seeds,"David Sunflower Seeds, 8 Oz",David,3.49,3.49,8,Regular,2022-09-15,9,Fall,0,0,0,0.0,0.0
10001,Frozen Foods,Frozen Meals,,Frozen Foods/Frozen Meals,731593328,https://www.walmart.com/ip/Frozen-Pizza,"DiGiorno Frozen Pizza, 30 Oz",DiGiorno,6.99,6.99,30,Regular,2022-02-16,2,Winter,1,0,0,0.0,0.0
60601,Bakery,Pastries,,Bakery/Pastries,460705052,https://www.walmart.com/ip/Danish-Pastry,"Entenmann's Danish Pastry, 12 Oz",Entenmann's,4.99,4.99,12,Regular,2022-05-24,5,Spring,0,0,0,0.0,0.0
90001,Bakery,Cakes,,Bakery/Cakes,435415571,https://www.walmart.com/ip/Vanilla-Cake,"Duncan Hines Vanilla Cake, 15 Oz",Duncan Hines,5.99,5.99,15,Regular,2022-05-28,5,Spring,0,0,0,0.0,0.0
90001,Bakery,Pastries,,Bakery/Pastries,703028054,https://www.walmart.com/ip/Cinnamon-Rolls,"Pillsbury Cinnamon Rolls, 8 Oz",Pillsbury,3.49,3.49,8,Regular,2022-12-09,12,Winter,1,0,0,0.0,0.0
90001,Snacks,Nuts & Seeds,,Snacks/Nuts & Seeds,959659100,https://www.walmart.com/ip/Almonds,"Blue Diamond Almonds, 6 Oz",Blue Diamond,5.99,5.99,6,Regular,2022-07-05,7,Summer,0,1,0,0.0,0.0
10001,Frozen Foods,Frozen Vegetables,,Frozen Foods/Frozen Vegetables,723393682,https://www.walmart.com/ip/Spinach,"Green Giant Spinach, 16 Oz",Green Giant,2.49,2.49,16,Regular,2022-08-10,8,Summer,0,1,0,0.0,0.0
79936,Deli,Cheese,,Deli/Cheese,291534718,https://www.walmart.com/ip/Mozzarella-Cheese,"Sargento Mozzarella Cheese, 8 Oz",Sargento,3.49,3.49,8,Regular,2022-07-19,7,Summer,0,1,0,0.0,0.0
90001,Deli,Prepared Meals,,Deli/Prepared Meals,719259154,https://www.walmart.com/ip/Chicken-Alfredo,"Stouffer's Chicken Alfredo, 12 Oz",Stouffer's,4.99,4.99,12,Regular,2022-09-24,9,Fall,0,0,0,0.0,0.0
60601,Frozen Foods,Frozen Vegetables,,Frozen Foods/Frozen Vegetables,669473034,https://www.walmart.com/ip/Spinach,"Green Giant Spinach, 16 Oz",Green Giant,2.49,2.49,16,Regular,2022-08-08,8,Summer,0,1,0,0.0,0.0
60601,Beverages,Soda,,Beverages/Soda,960577141,https://www.walmart.com/ip/Lemon-Lime-Soda,"Sprite Lemon-Lime Soda, 2 L",Sprite,1.99,1.99,2,Regular,2022-03-30,3,Spring,0,0,0,0.0,0.0
79936,Deli,Cheese,,Deli/Cheese,608356667,https://www.walmart.com/ip/Cheddar-Cheese,"Kraft Cheddar Cheese, 8 Oz",Kraft,3.49,3.49,8,Regular,2022-04-20,4,Spring,0,0,0,0.0,0.0
90001,Beverages,Juice,,Beverages/Juice,810207248,https://www.walmart.com/ip/Orange-Juice,"Tropicana Orange Juice, 64 Oz",Tropicana,3.99,3.99,64,Regular,2022-07-31,7,Summer,0,1,0,0.0,0.0
79936,Bakery,Cakes,,Bakery/Cakes,169301413,https://www.walmart.com/ip/Chocolate-Cake,"Betty Crocker Chocolate Cake, 15 Oz",Betty Crocker,5.99,5.99,15,Regular,2022-10-24,10,Fall,0,0,0,0.0,0.0
60601,Frozen Foods,Ice Cream,,Frozen Foods/Ice Cream,491658840,https://www.walmart.com/ip/Vanilla-Ice-Cream,"Haagen-Dazs Vanilla Ice Cream, 14 Oz",Haagen-Dazs,4.99,4.99,14,Winter Discount,2022-02-17,2,Winter,1,0,1,0.0,0.0
10001,Deli,Prepared Meals,,Deli/Prepared Meals,140522355,https://www.walmart.com/ip/Chicken-Alfredo,"Stouffer's Chicken Alfredo, 12 Oz",Stouffer's,4.99,4.99,12,Regular,2022-05-12,5,Spring,0,0,0,0.0,0.0
79936,Bakery,Pastries,,Bakery/Pastries,183332599,https://www.walmart.com/ip/Cinnamon-Rolls,"Pillsbury Cinnamon Rolls, 8 Oz",Pillsbury,3.49,3.49,8,Regular,2022-07-30,7,Summer,0,1,0,0.0,0.0
60601,Frozen Foods,Frozen Vegetables,,Frozen Foods/Frozen Vegetables,402653589,https://www.walmart.com/ip/Spinach,"Green Giant Spinach, 16 Oz",Green Giant,2.49,2.49,16,Regular,2022-02-01,2,Winter,1,0,0,0.0,0.0
79936,Beverages,Soda,,Beverages/Soda,468136489,https://www.walmart.com/ip/Cola,"Coca-Cola Cola, 2 L",Coca-Cola,1.99,1.99,2,Regular,2022-08-28,8,Summer,0,1,0,0.0,0.0
79936,Beverages,Juice,,Beverages/Juice,460088947,https://www.walmart.com/ip/Apple-Juice,"Mott's Apple Juice, 64 Oz",Mott's,3.49,3.49,64,Regular,2022-12-07,12,Winter,1,0,0,0.0,0.0
79936,Snacks,Cookies,,Snacks/Cookies,587451894,https://www.walmart.com/ip/Chocolate-Chip-Cookies,"Chips Ahoy Chocolate Chip Cookies, 13 Oz",Chips Ahoy,4.29,4.29,13,Regular,2022-01-06,1,Winter,1,0,0,0.0,0.0
90001,Beverages,Water,,Beverages/Water,436035404,https://www.walmart.com/ip/Spring-Water,"Poland Spring Spring Water, 24 Pack",Poland Spring,4.99,4.99,24,Regular,2022-03-18,3,Spring,0,0,0,0.0,0.0
60601,Snacks,Cookies,,Snacks/Cookies,331588920,https://www.walmart.com/ip/Oatmeal-Raisin-Cookies,"Quaker Oatmeal Raisin Cookies, 12 Oz",Quaker,4.29,4.29,12,Regular,2022-03-13,3,Spring,0,0,0,0.0,0.0
90001,Frozen Foods,Ice Cream,,Frozen Foods/Ice Cream,806544030,https://www.walmart.com/ip/Chocolate-Ice-Cream,"Breyers Chocolate Ice Cream, 48 Oz",Breyers,6.99,6.99,48,Regular,2022-05-19,5,Spring,0,0,1,0.0,0.0
90001,Beverages,Juice,,Beverages/Juice,521522224,https://www.walmart.com/ip/Orange-Juice,"Tropicana Orange Juice, 64 Oz",Tropicana,3.99,3.99,64,Regular,2022-07-28,7,Summer,0,1,0,0.0,0.0
30301,Beverages,Juice,,Beverages/Juice,412390184,https://www.walmart.com/ip/Orange-Juice,"Tropicana Orange Juice, 64 Oz",Tropicana,3.99,3.99,64,Regular,2022-11-17,11,Fall,0,0,0,0.0,0.0
60601,Beverages,Water,,Beverages/Water,682281434,https://www.walmart.com/ip/Purified-Water,"Nestle Purified Water, 24 Pack",Nestle,4.99,4.99,24,Regular,2022-05-19,5,Spring,0,0,0,0.0,0.0
30301,Bakery,Bread,,Bakery/Bread,911006495,https://www.walmart.com/ip/White-Bread,"Wonder White Bread, 20 Oz",Wonder,2.49,2.49,20,Regular,2022-12-23,12,Winter,1,0,0,0.0,0.0
10001,Beverages,Soda,,Beverages/Soda,889010431,https://www.walmart.com/ip/Cola,"Coca-Cola Cola, 2 L",Coca-Cola,1.99,1.99,2,Regular,2022-11-21,11,Fall,0,0,0,0.0,0.0
60601,Frozen Foods,Frozen Meals,,Frozen Foods/Frozen Meals,621736428,https://www.walmart.com/ip/Frozen-Pizza,"DiGiorno Frozen Pizza, 30 Oz",DiGiorno,6.99,6.99,30,Regular,2022-08-15,8,Summer,0,1,0,0.0,0.0
79936,Snacks,Cookies,,Snacks/Cookies,772462780,https://www.walmart.com/ip/Chocolate-Chip-Cookies,"Chips Ahoy Chocolate Chip Cookies, 13 Oz",Chips Ahoy,4.29,4.29,13,Regular,2022-04-16,4,Spring,0,0,0,0.0,0.0
30301,Beverages,Juice,,Beverages/Juice,345437849,https://www.walmart.com/ip/Orange-Juice,"Tropicana Orange Juice, 64 Oz",Tropicana,3.99,3.99,64,Regular,2022-01-15,1,Winter,1,0,0,0.0,0.0
60601,Frozen Foods,Ice Cream,,Frozen Foods/Ice Cream,744150434,https://www.walmart.com/ip/Chocolate-Ice-Cream,"Breyers Chocolate Ice Cream, 48 Oz",Breyers,6.99,6.99,48,Summer Premium,2022-06-14,6,Summer,0,1,1,0.0,0.0
60601,Beverages,Water,,Beverages/Water,550338288,https://www.walmart.com/ip/Purified-Water,"Nestle Purified Water, 24 Pack",Nestle,4.99,4.99,24,Regular,2023-01-01,1,Winter,1,0,0,0.0,0.0
60601,Frozen Foods,Ice Cream,,Frozen Foods/Ice Cream,439239442,https://www.walmart.com/ip/Chocolate-Ice-Cream,"Breyers Chocolate Ice Cream, 48 Oz",Breyers,6.99,6.99,48,Regular,2022-09-29,9,Fall,0,0,1,0.0,0.0
30301,Beverages,Water,,Beverages/Water,680981418,https://www.walmart.com/ip/Spring-Water,"Poland Spring Spring Water, 24 Pack",Poland Spring,4.99,4.99,24,Regular,2022-06-28,6,Summer,0,1,0,0.0,0.0
90001,Bakery,Cakes,,Bakery/Cakes,633842015,https://www.walmart.com/ip/Chocolate-Cake,"Betty Crocker Chocolate Cake, 15 Oz",Betty Crocker,5.99,5.99,15,Regular,2022-12-15,12,Winter,1,0,0,0.0,0.0
79936,Bakery,Cakes,,Bakery/Cakes,755252860,https://www.walmart.com/ip/Vanilla-Cake,"Duncan Hines Vanilla Cake, 15 Oz",Duncan Hines,5.99,5.99,15,Regular,2022-07-05,7,Summer,0,1,0,0.0,0.0
79936,Deli,Prepared Meals,,Deli/Prepared Meals,204433786,https://www.walmart.com/ip/Beef-Stroganoff,"Stouffer's Beef Stroganoff, 12 Oz",Stouffer's,4.99,4.99,12,Regular,2022-12-09,12,Winter,1,0,0,0.0,0.0
10001,Deli,Prepared Meals,,Deli/Prepared Meals,669050428,https://www.walmart.com/ip/Beef-Stroganoff,"Stouffer's Beef Stroganoff, 12 Oz",Stouffer's,4.99,4.99,12,Regular,2022-06-20,6,Summer,0,1,0,0.0,0.0
90001,Snacks,Chips,,Snacks/Chips,999889679,https://www.walmart.com/ip/Potato-Chips,"Lay's Potato Chips, 8 Oz",Lay's,2.99,2.99,8,Regular,2022-07-18,7,Summer,0,1,0,0.0,0.0
79936,Beverages,Juice,,Beverages/Juice,502099329,https://www.walmart.com/ip/Orange-Juice,"Tropicana Orange Juice, 64 Oz",Tropicana,3.99,3.99,64,Regular,2022-04-11,4,Spring,0,0,0,0.0,0.0
90001,Deli,Prepared Meals,,Deli/Prepared Meals,965756312,https://www.walmart.com/ip/Chicken-Alfredo,"Stouffer's Chicken Alfredo, 12 Oz",Stouffer's,4.99,4.99,12,Regular,2022-05-05,5,Spring,0,0,0,0.0,0.0
90001,Snacks,Cookies,,Snacks/Cookies,450016711,https://www.walmart.com/ip/Oatmeal-Raisin-Cookies,"Quaker Oatmeal Raisin Cookies, 12 Oz",Quaker,4.29,4.29,12,Regular,2022-04-01,4,Spring,0,0,0,0.0,0.0
30301,Bakery,Pastries,,Bakery/Pastries,808338786,https://www.walmart.com/ip/Danish-Pastry,"Entenmann's Danish Pastry, 12 Oz",Entenmann's,4.99,4.99,12,Regular,2022-05-18,5,Spring,0,0,0,0.0,0.0
60601,Beverages,Soda,,Beverages/Soda,344075663,https://www.walmart.com/ip/Cola,"Coca-Cola Cola, 2 L",Coca-Cola,1.99,1.99,2,Regular,2022-01-04,1,Winter,1,0,0,0.0,0.0
60601,Deli,"Hummus, Dips, & Salsa",,"Deli/Hummus, Dips, & Salsa",521968985,https://www.walmart.com/ip/Garlic-Hummus,"Marketside Garlic Hummus, 10 Oz",Marketside,2.67,2.67,10,Regular,2022-12-27,12,Winter,1,0,0,0.0,0.0
10001,Bakery,Cakes,,Bakery/Cakes,383790413,https://www.walmart.com/ip/Chocolate-Cake,"Betty Crocker Chocolate Cake, 15 Oz",Betty Crocker,5.99,5.99,15,Regular,2022-10-07,10,Fall,0,0,0,0.0,0.0
30301,Snacks,Cookies,,Snacks/Cookies,669564291,https://www.walmart.com/ip/Oatmeal-Raisin-Cookies,"Quaker Oatmeal Raisin Cookies, 12 Oz",Quaker,4.29,4.29,12,Regular,2022-12-19,12,Winter,1,0,0,0.0,0.0
79936,Deli,"Hummus, Dips, & Salsa",,"Deli/Hummus, Dips, & Salsa",628691468,https://www.walmart.com/ip/Roasted-Red-Pepper-Hummus,"Marketside Roasted Red Pepper Hummus, 10 Oz",Marketside,2.67,2.67,10,Regular,2022-02-27,2,Winter,1,0,0,0.0,0.0
79936,Beverages,Juice,,Beverages/Juice,251189913,https://www.walmart.com/ip/Apple-Juice,"Mott's Apple Juice, 64 Oz",Mott's,3.49,3.49,64,Regular,2022-01-22,1,Winter,1,0,0,0.0,0.0
60601,Frozen Foods,Ice Cream,,Frozen Foods/Ice Cream,314354677,https://www.walmart.com/ip/Vanilla-Ice-Cream,"Haagen-Dazs Vanilla Ice Cream, 14 Oz",Haagen-Dazs,4.99,4.99,14,Summer Premium,2022-06-07,6,Summer,0,1,1,0.0,0.0
10001,Bakery,Cakes,,Bakery/Cakes,942577509,https://www.walmart.com/ip/Vanilla-Cake,"Duncan Hines Vanilla Cake, 15 Oz",Duncan Hines,5.99,5.99,15,Regular,2022-10-12,10,Fall,0,0,0,0.0,0.0
10001,Beverages,Juice,,Beverages/Juice,725489743,https://www.walmart.com/ip/Apple-Juice,"Mott's Apple Juice, 64 Oz",Mott's,3.49,3.49,64,Regular,2022-09-03,9,Fall,0,0,0,0.0,0.0
79936,Snacks,Cookies,,Snacks/Cookies,716391148,https://www.walmart.com/ip/Oatmeal-Raisin-Cookies,"Quaker Oatmeal Raisin Cookies, 12 Oz",Quaker,4.29,4.29,12,Regular,2022-12-20,12,Winter,1,0,0,0.0,0.0
60601,Frozen Foods,Frozen Vegetables,,Frozen Foods/Frozen Vegetables,498527253,https://www.walmart.com/ip/Spinach,"Green Giant Spinach, 16 Oz",Green Giant,2.49,2.49,16,Regular,2022-12-08,12,Winter,1,0,0,0.0,0.0
79936,Bakery,Bread,,Bakery/Bread,342693300,https://www.walmart.com/ip/White-Bread,"Wonder White Bread, 20 Oz",Wonder,2.49,2.49,20,Regular,2022-05-11,5,Spring,0,0,0,0.0,0.0
90001,Frozen Foods,Frozen Vegetables,,Frozen Foods/Frozen Vegetables,821447632,https://www.walmart.com/ip/Mixed-Vegetables,"Birds Eye Mixed Vegetables, 16 Oz",Birds Eye,2.49,2.49,16,Regular,2022-07-18,7,Summer,0,1,0,0.0,0.0
10001,Snacks,Cookies,,Snacks/Cookies,960019913,https://www.walmart.com/ip/Oatmeal-Raisin-Cookies,"Quaker Oatmeal Raisin Cookies, 12 Oz",Quaker,4.29,4.29,12,Regular,2022-07-06,7,Summer,0,1,0,0.0,0.0
90001,Bakery,Pastries,,Bakery/Pastries,191478080,https://www.walmart.com/ip/Danish-Pastry,"Entenmann's Danish Pastry, 12 Oz",Entenmann's,4.99,4.99,12,Regular,2022-01-10,1,Winter,1,0,0,0.0,0.0
60601,Bakery,Cakes,,Bakery/Cakes,954402703,https://www.walmart.com/ip/Chocolate-Cake,"Betty Crocker Chocolate Cake, 15 Oz",Betty Crocker,5.99,5.99,15,Regular,2022-12-27,12,Winter,1,0,0,0.0,0.0
60601,Snacks,Nuts & Seeds,,Snacks/Nuts & Seeds,597403117,https://www.walmart.com/ip/Almonds,"Blue Diamond Almonds, 6 Oz",Blue Diamond,5.99,5.99,6,Regular,2022-09-12,9,Fall,0,0,0,0.0,0.0
90001,Snacks,Nuts & Seeds,,Snacks/Nuts & Seeds,510469802,https://www.walmart.com/ip/Almonds,"Blue Diamond Almonds, 6 Oz",Blue Diamond,5.99,5.99,6,Regular,2022-12-11,12,Winter,1,0,0,0.0,0.0
90001,Snacks,Cookies,,Snacks/Cookies,624136964,https://www.walmart.com/ip/Oatmeal-Raisin-Cookies,"Quaker Oatmeal Raisin Cookies, 12 Oz",Quaker,4.29,4.29,12,Regular,2022-07-21,7,Summer,0,1,0,0.0,0.0
60601,Deli,Prepared Meals,,Deli/Prepared Meals,348256305,https://www.walmart.com/ip/Chicken-Alfredo,"Stouffer's Chicken Alfredo, 12 Oz",Stouffer's,4.99,4.99,12,Regular,2022-07-21,7,Summer,0,1,0,0.0,0.0
10001,Beverages,Juice,,Beverages/Juice,870357762,https://www.walmart.com/ip/Orange-Juice,"Tropicana Orange Juice, 64 Oz",Tropicana,3.99,3.99,64,Regular,2022-01-05,1,Winter,1,0,0,0.0,0.0
60601,Snacks,Nuts & Seeds,,Snacks/Nuts & Seeds,177378536,https://www.walmart.com/ip/Sunflower-Seeds,"David Sunflower Seeds, 8 Oz",David,3.49,3.49,8,Regular,2022-11-27,11,Fall,0,0,0,0.0,0.0
60601,Frozen Foods,Frozen Meals,,Frozen Foods/Frozen Meals,446961281,https://www.walmart.com/ip/Frozen-Pizza,"DiGiorno Frozen Pizza, 30 Oz",DiGiorno,6.99,6.99,30,Regular,2022-06-16,6,Summer,0,1,0,0.0,0.0
30301,Deli,"Hummus, Dips, & Salsa",,"Deli/Hummus, Dips, & Salsa",124031565,https://www.walmart.com/ip/Classic-Hummus,"Marketside Classic Hummus, 10 Oz",Marketside,2.67,2.67,10,Regular,2022-06-13,6,Summer,0,1,0,0.0,0.0
30301,Deli,"Hummus, Dips, & Salsa",,"Deli/Hummus, Dips, & Salsa",335268127,https://www.walmart.com/ip/Garlic-Hummus,"Marketside Garlic Hummus, 10 Oz",Marketside,2.67,2.67,10,Regular,2022-02-09,2,Winter,1,0,0,0.0,0.0
10001,Frozen Foods,Ice Cream,,Frozen Foods/Ice Cream,491538459,https://www.walmart.com/ip/Vanilla-Ice-Cream,"Haagen-Dazs Vanilla Ice Cream, 14 Oz",Haagen-Dazs,4.99,4.99,14,Winter Discount,2022-12-15,12,Winter,1,0,1,0.0,0.0
30301,Snacks,Nuts & Seeds,,Snacks/Nuts & Seeds,360011976,https://www.walmart.com/ip/Almonds,"Blue Diamond Almonds, 6 Oz",Blue Diamond,5.99,5.99,6,Regular,2022-01-16,1,Winter,1,0,0,0.0,0.0
60601,Bakery,Bread,,Bakery/Bread,424286133,https://www.walmart.com/ip/Whole-Wheat-Bread,"Arnold Whole Wheat Bread, 20 Oz",Arnold,2.99,2.99,20,Regular,2022-06-30,6,Summer,0,1,0,0.0,0.0
79936,Bakery,Bread,,Bakery/Bread,819919586,https://www.walmart.com/ip/White-Bread,"Wonder White Bread, 20 Oz",Wonder,2.49,2.49,20,Regular,2022-07-12,7,Summer,0,1,0,0.0,0.0
30301,Deli,Prepared Meals,,Deli/Prepared Meals,786707306,https://www.walmart.com/ip/Chicken-Alfredo,"Stouffer's Chicken Alfredo, 12 Oz",Stouffer's,4.99,4.99,12,Regular,2022-06-29,6,Summer,0,1,0,0.0,0.0
79936,Bakery,Pastries,,Bakery/Pastries,415293211,https://www.walmart.com/ip/Danish-Pastry,"Entenmann's Danish Pastry, 12 Oz",Entenmann's,4.99,4.99,12,Regular,2022-07-13,7,Summer,0,1,0,0.0,0.0
